customerID,risk_score,ensemble_probability,gb_probability,rf_probability,lr_probability,risk_level,monthly_revenue,annual_revenue_risk,tenure_months,contract_type,payment_method,actual_churn,priority_rank,churn_drivers,recommended_action
5196-SGOAK,87.0,0.8696,0.8562,0.9046,0.8504,Critical,75.7,908.4,1,Month-to-month,Electronic check,1,164,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
7181-BQYBV,87.0,0.8702,0.8674,0.8501,0.9074,Critical,102.45,1229.4,1,Month-to-month,Electronic check,1,165,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
8593-WHYHV,87.0,0.87,0.8265,0.9092,0.9196,Critical,85.3,1023.6,3,Month-to-month,Electronic check,1,169,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
3244-DCJWY,86.9,0.8693,0.838,0.917,0.8762,Critical,70.25,843.0,1,Month-to-month,Electronic check,1,171,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
7465-ZZRVX,86.9,0.8695,0.834,0.9257,0.874,Critical,70.35,844.2,1,Month-to-month,Electronic check,0,172,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
1640-PLFMP,86.9,0.8693,0.838,0.917,0.8762,Critical,70.25,843.0,1,Month-to-month,Electronic check,0,173,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
3716-BDVDB,86.8,0.8682,0.834,0.916,0.8821,Critical,69.1,829.2,1,Month-to-month,Electronic check,1,175,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
0655-RBDUG,86.8,0.8678,0.847,0.9044,0.8646,Critical,98.05,1176.6,7,Month-to-month,Bank transfer (automatic),1,177,Month-to-month contract | New customer (0-12 months) | Fiber optic (premium price risk),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
5376-DEQCP,86.7,0.867,0.838,0.9106,0.8738,Critical,70.6,847.2,1,Month-to-month,Electronic check,1,180,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
1448-PWKYE,86.6,0.8664,0.848,0.9112,0.8454,Critical,80.0,960.0,1,Month-to-month,Electronic check,1,182,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
4750-ZRXIU,86.3,0.8634,0.8024,0.9168,0.9356,Critical,84.6,1015.2,4,Month-to-month,Electronic check,1,189,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
1853-UDXBW,86.3,0.8634,0.8296,0.9295,0.8487,Critical,70.0,840.0,1,Month-to-month,Electronic check,1,194,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
5167-ZFFMM,86.0,0.8601,0.8541,0.901,0.8137,Critical,90.85,1090.2,1,Month-to-month,Credit card (automatic),1,202,Month-to-month contract | New customer (0-12 months) | Fiber optic (premium price risk),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
6910-HADCM,85.8,0.8579,0.842,0.898,0.8376,Critical,76.35,916.2,1,Month-to-month,Electronic check,1,211,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
2867-UIMSS,85.8,0.8575,0.8256,0.9,0.8739,Critical,80.5,966.0,1,Month-to-month,Electronic check,1,213,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
6979-ZNSFF,85.7,0.8565,0.8078,0.907,0.9027,Critical,87.05,1044.6,8,Month-to-month,Electronic check,1,218,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
7409-KIUTL,85.7,0.8568,0.8178,0.9129,0.8704,Critical,71.0,852.0,1,Month-to-month,Electronic check,1,221,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
3296-SILRA,85.4,0.8542,0.8428,0.8997,0.8145,Critical,76.4,916.8,1,Month-to-month,Mailed check,1,227,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
1768-ZAIFU,85.3,0.8535,0.8267,0.8787,0.8823,Critical,25.2,302.4,1,Month-to-month,Electronic check,1,231,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
4587-VVTOX,85.2,0.8517,0.8033,0.8913,0.9133,Critical,105.3,1263.6,6,Month-to-month,Electronic check,1,237,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
3319-DWOEP,85.1,0.851,0.7916,0.903,0.9213,Critical,95.75,1149.0,6,Month-to-month,Electronic check,1,242,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
6969-MVBAI,85.1,0.8506,0.7871,0.9075,0.9242,Critical,90.1,1081.2,9,Month-to-month,Electronic check,0,243,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
8380-PEFPE,85.1,0.8512,0.8221,0.9086,0.838,Critical,71.65,859.8,1,Month-to-month,Electronic check,1,246,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
3006-XIMLN,85.1,0.8507,0.8185,0.9061,0.8479,Critical,94.2,1130.4,2,Month-to-month,Bank transfer (automatic),1,247,Month-to-month contract | New customer (0-12 months) | Fiber optic (premium price risk),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
2034-GDRCN,85.1,0.8509,0.7834,0.9191,0.9173,Critical,90.4,1084.8,2,Month-to-month,Electronic check,1,248,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
0841-NULXI,85.0,0.8502,0.8255,0.8708,0.8809,Critical,35.55,426.6,1,Month-to-month,Electronic check,1,250,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
5052-PNLOS,85.0,0.8501,0.8383,0.8786,0.8369,Critical,105.35,1264.2,3,Month-to-month,Bank transfer (automatic),1,253,Month-to-month contract | New customer (0-12 months) | Fiber optic (premium price risk),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
7398-SKNQZ,84.9,0.8491,0.7825,0.9134,0.9192,Critical,94.9,1138.8,3,Month-to-month,Electronic check,0,256,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
3707-GNWHM,84.7,0.8467,0.8137,0.8868,0.869,Critical,74.25,891.0,1,Month-to-month,Mailed check,1,261,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
1143-NMNQJ,84.6,0.8459,0.7747,0.9146,0.9204,Critical,85.7,1028.4,2,Month-to-month,Electronic check,1,262,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
4445-ZJNMU,84.6,0.846,0.8437,0.8599,0.8309,Critical,99.3,1191.6,9,Month-to-month,Credit card (automatic),0,263,Month-to-month contract | New customer (0-12 months) | Fiber optic (premium price risk),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
5419-CONWX,84.2,0.8416,0.8283,0.8644,0.8407,Critical,99.8,1197.6,4,Month-to-month,Credit card (automatic),1,280,Month-to-month contract | New customer (0-12 months) | Fiber optic (premium price risk),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
0235-KGSLC,84.0,0.8398,0.8193,0.8962,0.8066,Critical,85.55,1026.6,1,Month-to-month,Credit card (automatic),1,286,Month-to-month contract | New customer (0-12 months) | Fiber optic (premium price risk),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
9507-EXLTT,83.8,0.8385,0.8262,0.886,0.7979,Critical,79.35,952.2,1,Month-to-month,Bank transfer (automatic),1,294,Month-to-month contract | New customer (0-12 months) | Fiber optic (premium price risk),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
3097-NQYSN,83.5,0.8354,0.767,0.9095,0.8952,Critical,86.85,1042.2,2,Month-to-month,Mailed check,1,302,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
0390-DCFDQ,83.3,0.8333,0.7961,0.8847,0.8493,Critical,70.45,845.4,1,Month-to-month,Mailed check,1,309,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
8622-ZLFKO,83.2,0.8316,0.7592,0.9132,0.8903,Critical,90.75,1089.0,6,Month-to-month,Electronic check,0,311,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
8821-XNHVZ,83.2,0.8321,0.798,0.8913,0.8288,Critical,80.05,960.6,1,Month-to-month,Mailed check,1,315,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
4060-LDNLU,83.2,0.8316,0.7562,0.9095,0.9032,Critical,96.2,1154.4,7,Month-to-month,Electronic check,0,318,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
8258-GSTJK,83.1,0.831,0.7704,0.8815,0.9067,Critical,77.0,924.0,3,Month-to-month,Electronic check,1,323,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
3727-RJMEO,83.1,0.8308,0.7709,0.8704,0.9208,Critical,82.85,994.2,6,Month-to-month,Electronic check,1,324,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
2952-QAYZF,82.8,0.8283,0.7767,0.883,0.8752,Critical,85.3,1023.6,5,Month-to-month,Electronic check,1,336,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
9940-RHLFB,82.8,0.8281,0.7845,0.8888,0.8461,Critical,75.3,903.6,1,Month-to-month,Electronic check,1,339,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
7209-JCUDS,82.6,0.8264,0.7653,0.8761,0.9045,Critical,94.9,1138.8,10,Month-to-month,Electronic check,1,354,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
3519-ZKXGG,82.5,0.8252,0.7655,0.8775,0.8958,Critical,75.85,910.2,3,Month-to-month,Electronic check,1,357,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
4115-NZRKS,82.5,0.8253,0.7552,0.8753,0.9258,Critical,89.15,1069.8,7,Month-to-month,Electronic check,0,360,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
1200-TUZHR,82.5,0.8249,0.7545,0.889,0.9046,Critical,85.2,1022.4,8,Month-to-month,Electronic check,0,361,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
0187-QSXOE,82.4,0.8241,0.7429,0.892,0.9252,Critical,89.0,1068.0,7,Month-to-month,Electronic check,0,362,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
2027-FECZV,82.2,0.8224,0.795,0.819,0.8958,Critical,106.7,1280.4,12,Month-to-month,Electronic check,1,371,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
3177-LASXD,82.2,0.8221,0.7805,0.8814,0.837,Critical,71.35,856.2,1,Month-to-month,Electronic check,1,372,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
2856-HYAPG,82.1,0.8214,0.7805,0.8652,0.8582,Critical,68.65,823.8,1,Month-to-month,Electronic check,1,373,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
5698-BQJOH,82.0,0.8201,0.744,0.8871,0.9101,Critical,94.4,1132.8,9,Month-to-month,Electronic check,1,376,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
9221-OTIVJ,81.9,0.8194,0.792,0.8188,0.889,Critical,104.85,1258.2,14,Month-to-month,Electronic check,1,382,Month-to-month contract | Manual payment method | Fiber optic (premium price risk),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
6328-ZPBGN,81.7,0.8172,0.7788,0.8551,0.8563,Critical,95.15,1141.8,11,Month-to-month,Bank transfer (automatic),1,388,Month-to-month contract | New customer (0-12 months) | Fiber optic (premium price risk),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
2123-AGEEN,81.6,0.8155,0.7427,0.8737,0.9103,Critical,84.35,1012.2,7,Month-to-month,Electronic check,0,392,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
0616-ATFGB,81.6,0.8163,0.7711,0.869,0.8503,Critical,25.05,300.6,1,Month-to-month,Electronic check,1,394,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
4234-XTNEA,81.2,0.8117,0.7266,0.8951,0.8995,Critical,79.95,959.4,2,Month-to-month,Electronic check,0,410,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
9611-CTWIH,81.0,0.8103,0.7254,0.8795,0.9185,Critical,89.45,1073.4,3,Month-to-month,Electronic check,1,418,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
4749-OJKQU,81.0,0.8096,0.7447,0.8621,0.8929,Critical,75.65,907.8,4,Month-to-month,Electronic check,0,419,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
1320-HTRDR,80.8,0.8076,0.7389,0.863,0.8965,Critical,75.5,906.0,3,Month-to-month,Electronic check,1,425,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
7249-WBIYX,80.7,0.8074,0.7378,0.8637,0.8971,Critical,85.6,1027.2,10,Month-to-month,Electronic check,1,431,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
1731-TVIUK,80.5,0.8051,0.7198,0.8992,0.8775,Critical,93.5,1122.0,4,Month-to-month,Electronic check,1,438,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
1062-LHZOD,80.5,0.8047,0.7593,0.8899,0.7905,Critical,69.9,838.8,1,Month-to-month,Mailed check,1,439,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
7005-CCBKV,80.3,0.803,0.7341,0.8707,0.8735,Critical,84.4,1012.8,6,Month-to-month,Electronic check,1,446,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
8443-ZRDBZ,80.3,0.8026,0.7283,0.8678,0.8904,Critical,76.05,912.6,4,Month-to-month,Electronic check,1,451,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
2077-MPJQO,80.2,0.8023,0.7301,0.8568,0.9012,Critical,75.4,904.8,7,Month-to-month,Electronic check,0,454,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
4813-HQMGZ,80.0,0.7996,0.7138,0.8938,0.8731,Critical,90.25,1083.0,8,Month-to-month,Electronic check,0,464,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
6137-NICCO,79.9,0.7988,0.724,0.9014,0.8317,Critical,94.05,1128.6,6,Month-to-month,Mailed check,0,475,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
6956-SMUCM,79.8,0.798,0.7672,0.8608,0.7808,Critical,99.0,1188.0,3,Month-to-month,Credit card (automatic),1,481,Month-to-month contract | New customer (0-12 months) | Fiber optic (premium price risk),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
6435-SRWBJ,79.7,0.7969,0.7149,0.8808,0.876,Critical,82.75,993.0,5,Month-to-month,Electronic check,0,489,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
9878-TNQGW,79.5,0.7954,0.6987,0.8902,0.8949,Critical,80.95,971.4,2,Month-to-month,Electronic check,1,496,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
3841-CONLJ,79.5,0.7954,0.7582,0.8177,0.855,Critical,35.0,420.0,1,Month-to-month,Electronic check,0,499,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
2959-MJHIC,79.4,0.7936,0.7199,0.8547,0.8861,Critical,80.35,964.2,4,Month-to-month,Electronic check,1,502,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
7130-VTEWQ,79.3,0.7934,0.7217,0.8424,0.899,Critical,75.75,909.0,8,Month-to-month,Electronic check,1,508,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
5186-SAMNZ,79.2,0.7916,0.7629,0.8396,0.7913,Critical,69.5,834.0,1,Month-to-month,Bank transfer (automatic),1,512,Month-to-month contract | New customer (0-12 months) | Fiber optic (premium price risk),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
2135-DQWAQ,79.1,0.7911,0.7342,0.8676,0.8184,Critical,85.3,1023.6,5,Month-to-month,Mailed check,0,514,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
8245-UMPYT,79.0,0.79,0.7307,0.8226,0.889,Critical,96.4,1156.8,16,Month-to-month,Electronic check,1,519,Month-to-month contract | Manual payment method | Fiber optic (premium price risk),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
9050-IKDZA,79.0,0.79,0.7215,0.8692,0.8425,Critical,81.5,978.0,2,Month-to-month,Mailed check,0,522,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
5159-YFPKQ,78.9,0.7888,0.7027,0.878,0.8705,Critical,75.8,909.6,2,Month-to-month,Electronic check,1,524,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
8040-MNRTF,78.9,0.7887,0.7301,0.8943,0.7771,Critical,71.1,853.2,1,Month-to-month,Mailed check,0,525,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
